model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,versions,hidden_versions,link,min_width,target,has_parameters,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed,tool_text
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.8+galaxy0,NCBI Accession Download,0.2.8+galaxy0,Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API,[],,[],[],,True,"[{'value': 'ncbi_resources', 'type': 'bio.tools'}]","['0.2.5+galaxy0', '0.2.7+galaxy0', '0.2.8+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_acc_download%2Fncbi_acc_download%2F0.2.8%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_acc_download,iuc,e063168e0a81,toolshed.g2.bx.psu.edu,NCBI Accession Download Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API Get Data
Tool,toolshed.g2.bx.psu.edu/repos/galaxyp/unipept/unipept/6.2.4+galaxy1,Unipept,6.2.4+galaxy1,retrieve taxonomy for peptides,[],,[],[],,True,"[{'value': 'unipept', 'type': 'bio.tools'}]","['2.0.1', '4.3.0', '4.5.1', '6.2.4+galaxy0', '6.2.4+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fgalaxyp%2Funipept%2Funipept%2F6.2.4%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,unipept,galaxyp,4edfc76f8a29,toolshed.g2.bx.psu.edu,Unipept retrieve taxonomy for peptides Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/3.1.1+galaxy1,Download and Extract Reads in FASTQ,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.9.1.3', '2.10.4', '2.10.4+galaxy1', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Ffastq_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Download and Extract Reads in FASTQ format from NCBI SRA Get Data
DataSourceTool,ebi_sra_main,EBI SRA,1.0.1,ENA SRA,[],,['operation_0224'],[],,False,[],['1.0.1'],[],/tool_runner/data_source_redirect?tool_id=ebi_sra_main,800,_top,True,get_data,Get Data,special,,,,,EBI SRA ENA SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/3.1.1+galaxy1,Download and Extract Reads in BAM,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.9.1.4', '2.10.4', '2.10.4+galaxy1', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Fsam_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Download and Extract Reads in BAM format from NCBI SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/3.1.1+galaxy1,Faster Download and Extract Reads in FASTQ,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.10.4', '2.10.4+galaxy1', '2.10.4+galaxy2', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '2.11.0+galaxy1', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Ffasterq_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Faster Download and Extract Reads in FASTQ format from NCBI SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ebi_search_rest_results/ebi_search_rest_results/0.1.1,EBI Search,0.1.1,to obtain search results on resources and services hosted at the EBI,[],,[],[],,True,"[{'value': 'ebi_search', 'type': 'bio.tools'}]",['0.1.1'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Febi_search_rest_results%2Febi_search_rest_results%2F0.1.1,-1,galaxy_main,True,get_data,Get Data,regular,ebi_search_rest_results,iuc,42d5e40fcd0b,toolshed.g2.bx.psu.edu,EBI Search to obtain search results on resources and services hosted at the EBI Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ebi_metagenomics_run_downloader/ebi_metagenomics_run_downloader/0.1.0,Download run data,0.1.0,from EBI Metagenomics database,[],,[],[],,True,"[{'value': 'ebi_tools', 'type': 'bio.tools'}]",['0.1.0'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Febi_metagenomics_run_downloader%2Febi_metagenomics_run_downloader%2F0.1.0,-1,galaxy_main,True,get_data,Get Data,regular,ebi_metagenomics_run_downloader,iuc,a1ef6c88ee37,toolshed.g2.bx.psu.edu,Download run data from EBI Metagenomics database Get Data
Tool,upload1,Upload File,1.1.7,from your computer,[],,['operation_0224'],[],,False,[],['1.1.7'],[],/tool_runner?tool_id=upload1,-1,galaxy_main,False,get_data,Get Data,regular,,,,,Upload File from your computer Get Data
DataSourceTool,ucsc_table_direct1,UCSC Main,1.0.0,table browser,[],,['operation_0224'],[],,False,[],['1.0.0'],[],/tool_runner/data_source_redirect?tool_id=ucsc_table_direct1,800,_top,True,get_data,Get Data,special,,,,,UCSC Main table browser Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_genome/18.29.1+galaxy0,NCBI Datasets Genomes,18.29.1+galaxy0,"download genome sequence, annotation and metadata",[],,[],[],,True,"[{'value': 'ncbi_datasets', 'type': 'bio.tools'}]","['13.4.0', '13.14.0', '13.21.0', '13.21.0+galaxy1', '13.24.1+galaxy1', '13.35.0+galaxy0', '14.3+galaxy0', '14.6.0+galaxy0', '15.19.1+galaxy0', '16.6.0+galaxy0', '16.20.0+galaxy0', '16.42.0+galaxy0', '17.0.0+galaxy0', '17.1.0+galaxy0', '18.4.1+galaxy0', '18.5.1+galaxy0', '18.13.0+galaxy0', '18.14.0+galaxy0', '18.21.0+galaxy0', '18.29.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_datasets%2Fdatasets_download_genome%2F18.29.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_datasets,iuc,07f675a7ac2e,toolshed.g2.bx.psu.edu,"NCBI Datasets Genomes download genome sequence, annotation and metadata Get Data"
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_gene/18.29.1+galaxy0,NCBI Datasets Gene,18.29.1+galaxy0,download gene sequences and metadata,[],,[],[],,True,"[{'value': 'ncbi_datasets', 'type': 'bio.tools'}]","['14.6.0+galaxy0', '15.19.1+galaxy0', '16.6.0+galaxy0', '16.20.0+galaxy0', '16.42.0+galaxy0', '17.0.0+galaxy0', '17.1.0+galaxy0', '18.4.1+galaxy0', '18.5.1+galaxy0', '18.13.0+galaxy0', '18.14.0+galaxy0', '18.21.0+galaxy0', '18.29.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_datasets%2Fdatasets_download_gene%2F18.29.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_datasets,iuc,07f675a7ac2e,toolshed.g2.bx.psu.edu,NCBI Datasets Gene download gene sequences and metadata Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/iedb_api/iedb_api/2.15.3+galaxy1,IEDB,2.15.3+galaxy1,MHC Binding prediction,[],,[],[],,True,"[{'value': 'iedb', 'type': 'bio.tools'}]","['2.15.2', '2.15.3+galaxy0', '2.15.3+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fiedb_api%2Fiedb_api%2F2.15.3%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,iedb_api,iuc,8c6526a46319,toolshed.g2.bx.psu.edu,IEDB MHC Binding prediction Get Data
Tool,toolshed.g2.bx.psu.edu/repos/galaxyp/dbbuilder/dbbuilder/0.3.4,Protein Database Downloader,0.3.4,,[],,[],[],,True,[],['0.3.4'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fgalaxyp%2Fdbbuilder%2Fdbbuilder%2F0.3.4,-1,galaxy_main,True,get_data,Get Data,regular,dbbuilder,galaxyp,983bf725dfc2,toolshed.g2.bx.psu.edu,Protein Database Downloader  Get Data
Tool,toolshed.g2.bx.psu.edu/repos/galaxyp/uniprotxml_downloader/uniprotxml_downloader/2.5.0,UniProt,2.5.0,download proteome as XML or fasta,[],,[],[],,True,"[{'value': 'uniprot', 'type': 'bio.tools'}]","['2.4.0', '2.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fgalaxyp%2Funiprotxml_downloader%2Funiprotxml_downloader%2F2.5.0,-1,galaxy_main,True,get_data,Get Data,regular,uniprotxml_downloader,galaxyp,4ddc8da62671,toolshed.g2.bx.psu.edu,UniProt download proteome as XML or fasta Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/fastq_dl/fastq_dl/4.0.1+galaxy0,fastq-dl,4.0.1+galaxy0,Download FASTQ files from ENA,[],,[],[],,True,[],"['3.0.0+galaxy0', '3.0.1+galaxy0', '3.0.1+galaxy1', '3.0.1+galaxy2', '4.0.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Ffastq_dl%2Ffastq_dl%2F4.0.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,fastq_dl,iuc,123a40edeed1,toolshed.g2.bx.psu.edu,fastq-dl Download FASTQ files from ENA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/pysradb_search/pysradb_search/2.5.1+galaxy0,pysradb search,2.5.1+galaxy0,sequence metadata from SRA/ENA,[],,[],[],,True,"[{'value': 'pysradb', 'type': 'bio.tools'}]","['1.4.2+galaxy2', '2.5.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fpysradb_search%2Fpysradb_search%2F2.5.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,pysradb_search,iuc,f63d8665d8ea,toolshed.g2.bx.psu.edu,pysradb search sequence metadata from SRA/ENA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ega_download_client/pyega3/5.0.2+galaxy0,EGA Download Client,5.0.2+galaxy0,,[],,[],[],,True,"[{'value': 'ega', 'type': 'bio.tools'}]",['5.0.2+galaxy0'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fega_download_client%2Fpyega3%2F5.0.2%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ega_download_client,iuc,7d87a9d58aa1,toolshed.g2.bx.psu.edu,EGA Download Client  Get Data
Tool,export_remote,Export datasets,0.1.0,to repositories,[],,[],[],,True,[],['0.1.0'],[],/tool_runner?tool_id=export_remote,-1,galaxy_main,True,send_data,Send Data,regular,,,,,Export datasets to repositories Send Data
BuildListCollectionTool,__BUILD_LIST__,Build list,1.2.0,from individual datasets or existing collections,[],,['operation_2409'],[],,True,[],"['1.1.0', '1.2.0']",[],/tool_runner?tool_id=__BUILD_LIST__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Build list from individual datasets or existing collections Collection Operations
DuplicateFileToCollectionTool,__DUPLICATE_FILE_TO_COLLECTION__,Duplicate file to collection,1.0.0,by duplicating a dataset N times,[],,[],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__DUPLICATE_FILE_TO_COLLECTION__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Duplicate file to collection by duplicating a dataset N times Collection Operations
ConvertSampleSheetTool,__CONVERT_SAMPLE_SHEET__,Convert sample sheet,1.0.0,to list collection,[],,['operation_2409'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__CONVERT_SAMPLE_SHEET__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Convert sample sheet to list collection Collection Operations
Tool,toolshed.g2.bx.psu.edu/repos/bgruening/split_file_to_collection/split_file_to_collection/0.5.2,Split file,0.5.2,to dataset collection,[],,[],[],,True,[],"['0.4.0', '0.5.0', '0.5.1', '0.5.2']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fbgruening%2Fsplit_file_to_collection%2Fsplit_file_to_collection%2F0.5.2,-1,galaxy_main,True,collection_operations,Collection Operations,regular,split_file_to_collection,bgruening,2dae863c8f42,toolshed.g2.bx.psu.edu,Split file to dataset collection Collection Operations
FlattenTool,__FLATTEN__,Flatten collection,1.0.0,to a simple list,[],,['operation_2409'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__FLATTEN__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Flatten collection to a simple list Collection Operations
NestTool,__NEST__,Nest collection,1.0.0,by adding a nesting level,[],,['operation_2409'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__NEST__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Nest collection by adding a nesting level Collection Operations
MergeCollectionTool,__MERGE_COLLECTION__,Merge collections,1.0.0,into a single collection,[],,['operation_2409'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__MERGE_COLLECTION__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Merge collections into a single collection Collection Operations
SplitPairedAndUnpairedTool,__SPLIT_PAIRED_AND_UNPAIRED__,Split Paired and Unpaired,1.0.0,into separate paired and unpaired collections,[],,['operation_2409'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__SPLIT_PAIRED_AND_UNPAIRED__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Split Paired and Unpaired into separate paired and unpaired collections Collection Operations
Tool,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.3,Column join,0.0.3,on multiple datasets,[],,[],[],,True,[],"['0.0.1', '0.0.3']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fcollection_column_join%2Fcollection_column_join%2F0.0.3,-1,galaxy_main,True,collection_operations,Collection Operations,regular,collection_column_join,iuc,3ddd99c7efee,toolshed.g2.bx.psu.edu,Column join on multiple datasets Collection Operations
FilterFailedDatasetsTool,__FILTER_FAILED_DATASETS__,Filter failed datasets,1.1.0,from a collection,[],,['operation_3695'],[],,True,[],"['1.0.0', '1.1.0']",[],/tool_runner?tool_id=__FILTER_FAILED_DATASETS__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Filter failed datasets from a collection Collection Operations
FilterEmptyDatasetsTool,__FILTER_EMPTY_DATASETS__,Filter empty datasets,1.1.0,from a collection,[],,['operation_3695'],[],,True,[],"['1.0.0', '1.1.0']",[],/tool_runner?tool_id=__FILTER_EMPTY_DATASETS__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Filter empty datasets from a collection Collection Operations
FilterNullTool,__FILTER_NULL__,Filter null elements,1.1.0,from a collection,[],,['operation_3695'],[],,True,[],"['1.0.0', '1.1.0']",[],/tool_runner?tool_id=__FILTER_NULL__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Filter null elements from a collection Collection Operations
KeepSuccessDatasetsTool,__KEEP_SUCCESS_DATASETS__,Keep success,1.1.0,datasets in a collection,[],,['operation_3695'],[],,True,[],"['1.0.0', '1.1.0']",[],/tool_runner?tool_id=__KEEP_SUCCESS_DATASETS__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Keep success datasets in a collection Collection Operations
FilterFromFileTool,__FILTER_FROM_FILE__,Filter collection,1.1.0,using a list of identifiers from a file,[],,['operation_3695'],[],,True,[],"['1.0.0', '1.1.0']",[],/tool_runner?tool_id=__FILTER_FROM_FILE__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Filter collection using a list of identifiers from a file Collection Operations
ZipCollectionTool,__ZIP_COLLECTION__,Zip collections,1.0.0,into a paired collection,[],,['operation_3436'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__ZIP_COLLECTION__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Zip collections into a paired collection Collection Operations
UnzipCollectionTool,__UNZIP_COLLECTION__,Unzip collection,1.0.0,into forward and reverse datasets,[],,['operation_3359'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__UNZIP_COLLECTION__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Unzip collection into forward and reverse datasets Collection Operations
CrossProductFlatCollectionTool,__CROSS_PRODUCT_FLAT__,Flat Cross Product,1.0.0,of two collections into flat lists for all-vs-all comparison,[],,['operation_3436'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__CROSS_PRODUCT_FLAT__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Flat Cross Product of two collections into flat lists for all-vs-all comparison Collection Operations
CrossProductNestedCollectionTool,__CROSS_PRODUCT_NESTED__,Nested Cross Product,1.0.0,of two collections into nested lists for all-vs-all comparison,[],,['operation_3436'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__CROSS_PRODUCT_NESTED__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Nested Cross Product of two collections into nested lists for all-vs-all comparison Collection Operations
HarmonizeTool,__HARMONIZELISTS__,Harmonize two collections,1.1.0,to match identifiers and order,[],,['operation_0335'],[],,True,[],['1.1.0'],[],/tool_runner?tool_id=__HARMONIZELISTS__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Harmonize two collections to match identifiers and order Collection Operations
Tool,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/5.1.0,Collapse Collection,5.1.0,into single dataset in order of the collection,[],,[],[],,True,[],"['4.0', '4.1', '4.2', '5.1.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fnml%2Fcollapse_collections%2Fcollapse_dataset%2F5.1.0,-1,galaxy_main,True,collection_operations,Collection Operations,regular,collapse_collections,nml,90981f86000f,toolshed.g2.bx.psu.edu,Collapse Collection into single dataset in order of the collection Collection Operations
SortTool,__SORTLIST__,Sort collection,1.0.0,"elements alphabetically, numerically, or by a custom order",[],,['operation_3802'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__SORTLIST__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,"Sort collection elements alphabetically, numerically, or by a custom order Collection Operations"
TagFromFileTool,__TAG_FROM_FILE__,Tag elements,1.0.0,from a tabular file of tags,[],,['operation_3096'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__TAG_FROM_FILE__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Tag elements from a tabular file of tags Collection Operations
RelabelFromFileTool,__RELABEL_FROM_FILE__,Relabel identifiers,1.1.0,of collection elements from a file,[],,['operation_3096'],[],,True,[],['1.1.0'],[],/tool_runner?tool_id=__RELABEL_FROM_FILE__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Relabel identifiers of collection elements from a file Collection Operations
ExtractDatasetCollectionTool,__EXTRACT_DATASET__,Extract dataset,1.0.2,from a collection by index or identifier,[],,['operation_3695'],[],,True,[],['1.0.2'],[],/tool_runner?tool_id=__EXTRACT_DATASET__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Extract dataset from a collection by index or identifier Collection Operations
Tool,__SAMPLE_SHEET_TO_TABULAR__,Sample sheet to tabular,1.0.0,to extract sample sheet metadata as a table,[],,['operation_3359'],[],,True,[],['1.0.0'],[],/tool_runner?tool_id=__SAMPLE_SHEET_TO_TABULAR__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Sample sheet to tabular to extract sample sheet metadata as a table Collection Operations
ApplyRulesTool,__APPLY_RULES__,Apply rules,1.1.0,to reorganize a collection using the rule builder,[],,"['operation_2409', 'operation_3695']",[],,True,[],['1.1.0'],[],/tool_runner?tool_id=__APPLY_RULES__,-1,galaxy_main,True,collection_operations,Collection Operations,regular,,,,,Apply rules to reorganize a collection using the rule builder Collection Operations
Tool,toolshed.g2.bx.psu.edu/repos/iuc/collection_element_identifiers/collection_element_identifiers/0.0.3,Extract element identifiers,0.0.3,of a list collection,[],,[],[],,True,[],"['0.0.2', '0.0.3']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fcollection_element_identifiers%2Fcollection_element_identifiers%2F0.0.3,-1,galaxy_main,True,collection_operations,Collection Operations,regular,collection_element_identifiers,iuc,3e27acfa4830,toolshed.g2.bx.psu.edu,Extract element identifiers of a list collection Collection Operations
ExpressionTool,toolshed.g2.bx.psu.edu/repos/iuc/compose_text_param/compose_text_param/0.1.1,Compose text parameter value,0.1.1,from parameters,[],,[],[],,True,[],['0.1.1'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fcompose_text_param%2Fcompose_text_param%2F0.1.1,-1,galaxy_main,True,expression_tools,Expression Tools,special,compose_text_param,iuc,e188c9826e0f,toolshed.g2.bx.psu.edu,Compose text parameter value from parameters Expression Tools
ExpressionTool,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.2.0,Map parameter value,0.2.0,,[],,[],[],,True,[],"['0.1.0', '0.1.1', '0.2.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmap_param_value%2Fmap_param_value%2F0.2.0,-1,galaxy_main,True,expression_tools,Expression Tools,special,map_param_value,iuc,5ac8a4bf7a8d,toolshed.g2.bx.psu.edu,Map parameter value  Expression Tools
ExpressionTool,toolshed.g2.bx.psu.edu/repos/iuc/pick_value/pick_value/0.2.0,Pick parameter value,0.2.0,,[],,[],[],,True,[],['0.2.0'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fpick_value%2Fpick_value%2F0.2.0,-1,galaxy_main,True,expression_tools,Expression Tools,special,pick_value,iuc,b19e21af9c52,toolshed.g2.bx.psu.edu,Pick parameter value  Expression Tools
ExpressionTool,toolshed.g2.bx.psu.edu/repos/iuc/calculate_numeric_param/calculate_numeric_param/0.1.0,Calculate numeric parameter value,0.1.0,from parameters,[],,[],[],,True,[],['0.1.0'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fcalculate_numeric_param%2Fcalculate_numeric_param%2F0.1.0,-1,galaxy_main,True,expression_tools,Expression Tools,special,calculate_numeric_param,iuc,0e586762f97b,toolshed.g2.bx.psu.edu,Calculate numeric parameter value from parameters Expression Tools
ExpressionTool,param_value_from_file,Parse parameter value,0.1.0,from dataset,[],,[],[],,True,[],['0.1.0'],[],/tool_runner?tool_id=param_value_from_file,-1,galaxy_main,True,expression_tools,Expression Tools,special,,,,,Parse parameter value from dataset Expression Tools
Tool,toolshed.g2.bx.psu.edu/repos/bgruening/column_arrange_by_header/bg_column_arrange_by_header/0.3,Column arrange,0.3,by header name,[],,[],[],,True,[],"['0.2', '0.3']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fbgruening%2Fcolumn_arrange_by_header%2Fbg_column_arrange_by_header%2F0.3,-1,galaxy_main,True,text_manipulation,Text Manipulation,regular,column_arrange_by_header,bgruening,dcc6bb900eee,toolshed.g2.bx.psu.edu,Column arrange by header name Text Manipulation
Tool,toolshed.g2.bx.psu.edu/repos/iuc/filter_tabular/filter_tabular/3.3.1,Filter Tabular,3.3.1,,[],,[],[],,True,[],"['2.0.0', '3.1.0', '3.1.2', '3.3.0', '3.3.1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Ffilter_tabular%2Ffilter_tabular%2F3.3.1,-1,galaxy_main,True,text_manipulation,Text Manipulation,regular,filter_tabular,iuc,90f657745fea,toolshed.g2.bx.psu.edu,Filter Tabular  Text Manipulation
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sqlite_to_tabular/sqlite_to_tabular/3.2.1,SQLite to tabular,3.2.1,for SQL query,[],,[],[],,True,[],"['2.0.0', '2.0.1', '3.2.0', '3.2.1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsqlite_to_tabular%2Fsqlite_to_tabular%2F3.2.1,-1,galaxy_main,True,text_manipulation,Text Manipulation,regular,sqlite_to_tabular,iuc,c4d18aa4ec4a,toolshed.g2.bx.psu.edu,SQLite to tabular for SQL query Text Manipulation
Tool,toolshed.g2.bx.psu.edu/repos/iuc/query_tabular/query_tabular/3.3.2,Query Tabular,3.3.2,using sqlite sql,[],,[],[],,True,[],"['2.0.0', '3.0.0', '3.1.1', '3.1.2', '3.3.0', '3.3.1', '3.3.2']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fquery_tabular%2Fquery_tabular%2F3.3.2,-1,galaxy_main,True,text_manipulation,Text Manipulation,regular,query_tabular,iuc,cf4397560712,toolshed.g2.bx.psu.edu,Query Tabular using sqlite sql Text Manipulation
Tool,toolshed.g2.bx.psu.edu/repos/iuc/table_compute/table_compute/1.2.4+galaxy2,Table Compute,1.2.4+galaxy2,computes operations on table data,[],,[],[],,True,[],"['0.9.1', '0.9.2', '1.2.4+galaxy0', '1.2.4+galaxy1', '1.2.4+galaxy2']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Ftable_compute%2Ftable_compute%2F1.2.4%2Bgalaxy2,-1,galaxy_main,True,text_manipulation,Text Manipulation,regular,table_compute,iuc,cd36d6e45e29,toolshed.g2.bx.psu.edu,Table Compute computes operations on table data Text Manipulation
