model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,versions,hidden_versions,link,min_width,target,has_parameters,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed,tool_text
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_oturep/mothur_get_oturep/1.39.5.0,Get.oturep,1.39.5.0,Generate a fasta with a representative sequence for each OTU,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_oturep%2Fmothur_get_oturep%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_oturep,iuc,305ce07a4b16,toolshed.g2.bx.psu.edu,Get.oturep Generate a fasta with a representative sequence for each OTU Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_otulist/mothur_get_otulist/1.39.5.0,Get.otulist,1.39.5.0,Get otus for each distance in a otu list,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_otulist%2Fmothur_get_otulist%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_otulist,iuc,85f75125d861,toolshed.g2.bx.psu.edu,Get.otulist Get otus for each distance in a otu list Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_otulabels/mothur_get_otulabels/1.39.5.0,Get.otulabels,1.39.5.0,Selects OTU labels,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_otulabels%2Fmothur_get_otulabels%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_otulabels,iuc,fbd1d5bf02bf,toolshed.g2.bx.psu.edu,Get.otulabels Selects OTU labels Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_mimarkspackage/mothur_get_mimarkspackage/1.39.5.0,Get.mimarkspackage,1.39.5.0,creates a mimarks package form with your groups,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_mimarkspackage%2Fmothur_get_mimarkspackage%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_mimarkspackage,iuc,2d19319f528a,toolshed.g2.bx.psu.edu,Get.mimarkspackage creates a mimarks package form with your groups Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_lineage/mothur_get_lineage/1.39.5.0,Get.lineage,1.39.5.0,Picks by taxon,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_lineage%2Fmothur_get_lineage%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_lineage,iuc,6fbd83d3a29f,toolshed.g2.bx.psu.edu,Get.lineage Picks by taxon Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_label/mothur_get_label/1.39.5.0,Get.label,1.39.5.0,"label names from list, sabund, or rabund file",[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_label%2Fmothur_get_label%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_label,iuc,7f479eedd900,toolshed.g2.bx.psu.edu,"Get.label label names from list, sabund, or rabund file Mothur"
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_group/mothur_get_group/1.39.5.0,Get.group,1.39.5.0,group names from shared or from list and group,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_group%2Fmothur_get_group%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_group,iuc,d26de4fffac5,toolshed.g2.bx.psu.edu,Get.group group names from shared or from list and group Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.39.5.0,Get.groups,1.39.5.0,Select groups,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_groups%2Fmothur_get_groups%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_groups,iuc,03af14e245fb,toolshed.g2.bx.psu.edu,Get.groups Select groups Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_dists/mothur_get_dists/1.39.5.0,Get.dists,1.39.5.0,selects distances from a phylip or column file,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_dists%2Fmothur_get_dists%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_dists,iuc,10005fd5ad53,toolshed.g2.bx.psu.edu,Get.dists selects distances from a phylip or column file Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_coremicrobiome/mothur_get_coremicrobiome/1.39.5.0,Get.coremicrobiome,1.39.5.0,fraction of OTUs for samples or abundances,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_coremicrobiome%2Fmothur_get_coremicrobiome%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_coremicrobiome,iuc,da05ce41f8f0,toolshed.g2.bx.psu.edu,Get.coremicrobiome fraction of OTUs for samples or abundances Mothur
